symbol,days_listed,market_cap,volume_24h,avg_daily_volume,volume_stability
PORTOUSDT,90,14133174.78977952,504418.21036,1632565.383888889,1.1492982377331313
ALCXUSDT,90,49825606.64343117,890412.980647,92967.80190777777,1.1485994472066503
SANTOSUSDT,90,23327863.51453483,1130846.59111,3047089.207888889,1.2669913644591182
VOXELUSDT,90,43146036.88668624,3971993.20577,20377830.01111111,0.6095450102625851
LOKAUSDT,90,42856194.65750743,533024.66604,9843465.172222223,0.6232037290816279
ALPINEUSDT,90,16119628.08880704,1299792.94504,2354882.456222222,1.2295157625650548
BSWUSDT,90,42961511.46325702,1607847.90901,53269924.08888889,1.0352123794540453
BIFIUSDT,90,28993697.97575527,181573.6405,1760.7517777777778,0.6819872823535785
REIUSDT,90,58305108.51482433,1364797.049594,85817910.33888888,0.837210818458424
LEVERUSDT,90,67018703.98198184,4558912.170318,2003437800.7,0.6255084453013947
PHBUSDT,90,91579823.70323867,2253207.7061,3864479.6199999996,0.48539803782191393
HOOKUSDT,90,96950963.15650181,5065307.25761,10536070.62777778,0.7228883059529858
HIFIUSDT,90,84477941.11910702,1958120.09491,7038083.375555555,0.9224511826794946
PROSUSDT,90,29354070.64709042,1670169.7042,20036419.588888887,1.4861559017056845
GNSUSDT,90,62667690.89105442,569550.07345,398640.9623333333,0.4912431347934413
VIBUSDT,90,19795204.32747632,8761379.30407,61980230.11111111,1.5232655354669704
AMBUSDT,90,27778983.05863682,1352812.15109,392675976.2888889,0.9804912500011508
QKCUSDT,90,77385246.02201249,7384239.163605,231585007.07777777,1.8531806103348172
UFTUSDT,90,31434440.54711109,1978718.2397,4488085.133333334,1.1446081042143565
RDNTUSDT,90,76491109.58924286,1750069.0397,112521502.75555556,0.8119599092065705
AERGOUSDT,90,64070783.85721334,3803206.5515,25633522.51111111,1.5947900382927764
ASTUSDT,90,20167524.5175263,963211.3476,29173399.755555555,1.396524850034819
COMBOUSDT,90,33906489.12295974,1248949.11452,5067129.121111112,0.7138011838338115
CREAMUSDT,90,26087007.6923296,1095113.38382,198903.94696666664,1.1263137701085475
PIVXUSDT,90,29980928.17484435,657795.0563,8355802.877777778,1.3378131883106426
VICUSDT,90,42421728.90431017,783257.379261,4280072.698222222,1.3071692851274133
AEURUSDT,90,58808416.85621375,120549.11945,335646.6222222223,1.1501364202221909
ACEUSDT,90,93373245.06295268,1731420.4788,2170348.5288888887,0.597277897927429
NFPUSDT,90,89577294.181493,1846107.6872,18282452.81111111,0.5302826726497984
PDAUSDT,90,28918891.28101991,969584.572394,59947399.90888889,0.9600039384239205
TNSRUSDT,90,61318616.10671242,2087039.16626,17904924.832222223,0.8492872429022629
REZUSDT,90,80097700.99035205,1603106.357277,150688680.5788889,0.5561936617073342
LISTAUSDT,90,78287100.52237587,3065655.52335,18239251.82555555,0.885825253766416
EURIUSDT,90,33125790.67796117,822459.74338,5832203.41,0.6440208217033576
SLFUSDT,90,33658649.25113273,3713872.5492,14068349.35,0.9432179259076077
